UTC,Heat_demand_91,Heat_demand_92,Heat_demand_7
2013-05-19 22:00:00,227722.7859,227722.7859,168164.5188
2013-05-19 23:00:00,213899.3611,213899.3611,157956.4513
2013-05-20 00:00:00,210989.152,210989.152,155807.3738
2013-05-20 01:00:00,212444.244,212444.244,156881.9033
2013-05-20 02:00:00,209170.2868,209170.2868,154464.2118
2013-05-20 03:00:00,202986.1205,202986.1205,149897.4428
2013-05-20 04:00:00,203349.8935,203349.8935,150166.0752
2013-05-20 05:00:00,209534.0599,209534.0599,154732.8442
2013-05-20 06:00:00,243365.0883,243365.0883,179715.7575
2013-05-20 07:00:00,256097.1815,256097.1815,189117.9187
2013-05-20 08:00:00,256460.967,256460.967,189386.5603
2013-05-20 09:00:00,277196.0917,277196.0917,204698.6523
2013-05-20 10:00:00,303751.6347,303751.6347,224308.8995
2013-05-20 11:00:00,314664.8753,314664.8753,232367.9079
2013-05-20 12:00:00,319030.1516,319030.1516,235591.4965
2013-05-20 13:00:00,308480.6965,308480.6965,227801.1297
2013-05-20 14:00:00,311027.1201,311027.1201,229681.5656
2013-05-20 15:00:00,321940.3607,321940.3607,237740.5741
2013-05-20 16:00:00,333217.3619,333217.3619,246068.2057
2013-05-20 17:00:00,340129.0618,340129.0618,251172.2302
2013-05-20 18:00:00,333581.1224,333581.1224,246336.8289
2013-05-20 19:00:00,325941.8765,325941.8765,240695.5395
2013-05-20 20:00:00,312482.2122,312482.2122,230756.0952
2013-05-20 21:00:00,296112.3638,296112.3638,218667.5917
2013-05-20 22:00:00,261553.7893,261553.7893,193147.4137
2013-05-20 23:00:00,223721.2702,223721.2702,165209.5534
2013-05-21 00:00:00,202986.1205,202986.1205,149897.4428
2013-05-21 01:00:00,198257.0587,198257.0587,146405.2126
2013-05-21 02:00:00,193891.7575,193891.7575,143181.6055
2013-05-21 03:00:00,196074.4081,196074.4081,144793.4091
2013-05-21 04:00:00,198257.0587,198257.0587,146405.2126
2013-05-21 05:00:00,211716.698,211716.698,156344.6385
2013-05-21 06:00:00,265191.5445,265191.5445,195833.756
2013-05-21 07:00:00,307753.1504,307753.1504,227263.8649
2013-05-21 08:00:00,304842.9663,304842.9663,225114.8059
2013-05-21 09:00:00,320121.4831,320121.4831,236397.4029
2013-05-21 10:00:00,317575.0595,317575.0595,234516.967
2013-05-21 11:00:00,293929.7256,293929.7256,217055.7974
2013-05-21 12:00:00,293565.9401,293565.9401,216787.1558
2013-05-21 13:00:00,293929.7256,293929.7256,217055.7974
2013-05-21 14:00:00,302660.3031,302660.3031,223502.9931
2013-05-21 15:00:00,317211.274,317211.274,234248.3254
2013-05-21 16:00:00,341220.3933,341220.3933,251978.1366
2013-05-21 17:00:00,363774.4206,363774.4206,268633.4183
2013-05-21 18:00:00,376142.7283,376142.7283,277766.9378
