time,Heat_buffer,Heat_demand7_opt,Heat_demand91_opt,Heat_demand92_opt,Heat_source1,Heat_source2,StoredHeat_buffer
2013-05-19 22:00:00,0.002920,168164.518800,227722.785900,227722.785900,100099.618082,523510.483224,0.000000
2013-05-19 23:00:00,167335.986206,157956.451300,213899.361100,213899.361100,100099.436510,652991.730132,602409544.100151
2013-05-20 00:00:00,175305.524899,155807.373800,210989.152000,210989.152000,100099.499526,652991.710108,1233509427.495578
2013-05-20 01:00:00,171320.832480,156881.903300,212444.244000,212444.244000,100099.530584,652991.700131,1850264418.180899
2013-05-20 02:00:00,180286.450398,154464.211800,209170.286800,209170.286800,100099.549127,652991.693605,2499295633.370744
2013-05-20 03:00:00,197221.559688,149897.442800,202986.120500,202986.120500,100099.561546,652991.688878,3209293242.007922
2013-05-20 04:00:00,196225.388659,150166.075200,203349.893500,203349.893500,100099.572798,652991.684996,3915704634.938082
2013-05-20 05:00:00,179290.294103,154732.844200,209534.059900,209534.059900,100099.583434,652991.681604,4561149687.466668
2013-05-20 06:00:00,86645.336761,179715.757500,243365.088300,243365.088300,100099.600249,652991.677548,4873072893.566563
2013-05-20 07:00:00,51778.995794,189117.918700,256097.181500,256097.181500,100099.610003,652991.674428,5059477272.184932
2013-05-20 08:00:00,50782.786123,189386.560300,256460.967000,256460.967000,100099.615373,652991.671986,5242295295.985637
2013-05-20 09:00:00,-5999.548176,204698.652300,277196.091700,277196.091700,100099.625849,652991.668603,5220696916.311272
2013-05-20 10:00:00,-78720.873815,224308.899500,303751.634700,303751.634700,100099.637303,652991.664717,4937301764.337688
2013-05-20 11:00:00,-108606.360146,232367.907900,314664.875300,314664.875300,100099.643705,652991.661584,4546318861.570900
2013-05-20 12:00:00,-120560.499994,235591.496500,319030.151600,319030.151600,100099.647939,652991.658702,4112301055.351956
2013-05-20 13:00:00,-91671.224662,227801.129700,308480.696500,308480.696500,100099.648375,652991.656597,3782284640.326344
2013-05-20 14:00:00,-98644.507490,229681.565600,311027.120100,311027.120100,100099.651850,652991.653395,3427164407.122799
2013-05-20 15:00:00,-128529.996331,237740.574100,321940.360700,321940.360700,100099.656760,652991.649344,2964456414.091108
2013-05-20 16:00:00,-159411.630470,246068.205700,333217.361900,333217.361900,100099.661211,652991.644754,2390574538.159677
2013-05-20 17:00:00,-178339.056717,251172.230200,340129.061800,340129.061800,100099.664397,652991.639621,1748553927.736449
2013-05-20 18:00:00,-160407.781459,246336.828900,333581.122400,333581.122400,100099.665259,652991.633916,1171085908.242010
2013-05-20 19:00:00,-139488.008056,240695.539500,325941.876500,325941.876500,100099.666038,652991.625341,668929072.999897
2013-05-20 20:00:00,-102629.249944,230756.095200,312482.212200,312482.212200,100099.666201,652991.610389,299463766.958884
2013-05-20 21:00:00,-57801.085889,218667.591700,296112.363800,296112.363800,100099.666247,652991.574098,91379851.517138
2013-05-20 22:00:00,36836.015137,193147.413700,261553.789300,261553.789300,100099.664905,652991.349468,223989499.769740
2013-05-20 23:00:00,140438.861063,165209.553400,223721.270200,223721.270200,100099.664010,652991.297788,729569393.357368
2013-05-21 00:00:00,197221.257804,149897.442800,202986.120500,202986.120500,100099.664673,652991.283865,1439565915.213133
2013-05-21 01:00:00,210171.605624,146405.212600,198257.058700,198257.058700,100099.666058,652991.276500,2196183689.219994
2013-05-21 02:00:00,222125.811334,143181.605500,193891.757500,193891.757500,100099.667164,652991.271604,2995836603.781254
2013-05-21 03:00:00,216148.703791,144793.409100,196074.408100,196074.408100,100099.668213,652991.267812,3773971931.187592
2013-05-21 04:00:00,210171.596775,146405.212600,198257.058700,198257.058700,100099.668964,652991.264745,4530589673.337674
2013-05-21 05:00:00,173312.890094,156344.638500,211716.698000,211716.698000,100099.669683,652991.261845,5154516071.434892
2013-05-21 06:00:00,26874.076278,195833.756000,265191.544500,265191.544500,100099.670450,652991.257764,5251262739.796534
2013-05-21 07:00:00,-89679.249502,227263.864900,307753.150400,307753.150400,100099.669593,652991.253539,4928417435.350676
2013-05-21 08:00:00,-81709.825292,225114.805900,304842.966300,304842.966300,100099.668763,652991.251379,4634262058.060416
2013-05-21 09:00:00,-123549.461012,236397.402900,320121.483100,320121.483100,100099.666950,652991.248072,4189483992.178507
2013-05-21 10:00:00,-116576.181831,234516.967000,317575.059500,317575.059500,100099.665578,652991.245525,3769809731.347607
2013-05-21 11:00:00,-51824.346593,217055.797400,293929.725600,293929.725600,100099.665160,652991.243780,3583242077.373766
2013-05-21 12:00:00,-50828.138997,216787.155800,293565.940100,293565.940100,100099.663280,652991.240657,3400260770.745494
2013-05-21 13:00:00,-51824.357193,217055.797400,293929.725600,293929.725600,100099.661005,652991.237336,3213693078.612161
2013-05-21 14:00:00,-75732.715146,223502.993100,302660.303100,302660.303100,100099.657660,652991.233427,2941055297.846354
2013-05-21 15:00:00,-115579.998440,234248.325400,317211.274000,317211.274000,100099.653011,652991.228883,2524967297.222847
2013-05-21 16:00:00,-181328.061100,251978.136600,341220.393300,341220.393300,100099.645926,652991.223108,1872186271.023301
2013-05-21 17:00:00,-243091.413726,268633.418300,363774.420600,363774.420600,100099.636932,652991.215776,997057175.369955
2013-05-21 18:00:00,-276961.569609,277766.937800,376142.728300,376142.728300,100099.627551,652991.204173,0.000000
