GMT+1,HeatingDemand_Artiestenbuurt,HeatingDemand_DeStrijp_1,HeatingDemand_DeStrijp_2,HeatingDemand_DeStrijp_3,HeatingDemand_Hoekpolder,HeatingDemand_HuisTeLande,HeatingDemand_Kleurenbuurt,HeatingDemand_Ministerbuurt_1,HeatingDemand_Ministerbuurt_2,HeatingDemand_Muziekbuurt,HeatingDemand_Presidentenbuurt,HeatingDemand_Rembrandtkwartier_1,HeatingDemand_Rembrandtkwartier_2,HeatingDemand_Stationskwartier,HeatingDemand_Stervoorde_1,HeatingDemand_Stervoorde_2,HeatingDemand_Stervoorde_3,HeatingDemand_Stervoorde_4,HeatingDemand_Stervoorde_5,HeatingDemand_TeWerve
01-01-2019 00:00,617,287,287,287,247,413,769,342,520,1.188,247,637,637,340,286,425,741,211,268,973
01-01-2019 01:00,636,296,296,296,255,426,792,352,536,1.225,255,657,657,350,295,438,764,217,276,1.003
01-01-2019 02:00,611,284,284,284,245,408,760,338,514,1.175,244,630,630,336,283,421,733,209,265,963
01-01-2019 03:00,624,290,290,290,250,417,776,345,525,1.200,250,644,644,343,289,430,749,213,271,983
01-01-2019 04:00,652,304,304,304,261,436,812,361,549,1.255,261,673,673,359,303,449,783,223,283,1.028
01-01-2019 05:00,654,305,305,305,262,438,815,362,551,1.259,262,675,675,360,304,451,786,224,284,1.032
01-01-2019 06:00,749,349,349,349,300,501,933,415,631,1.442,300,773,773,413,348,516,900,256,325,1.181
01-01-2019 07:00,3.575,1.664,1.664,1.664,1.433,2.391,4.452,1.978,3.011,6.880,1.431,3.690,3.690,1.968,1.659,2.463,4.292,1.221,1.551,5.637
01-01-2019 08:00,3.754,1.747,1.747,1.747,1.505,2.511,4.674,2.077,3.161,7.223,1.502,3.874,3.874,2.067,1.742,2.586,4.507,1.282,1.628,5.918
01-01-2019 09:00,5.681,2.645,2.645,2.645,2.277,3.800,7.074,3.144,4.785,10.932,2.273,5.864,5.864,3.128,2.636,3.914,6.820,1.940,2.465,8.957
01-01-2019 10:00,4.644,2.162,2.162,2.162,1.862,3.106,5.783,2.570,3.911,8.937,1.858,4.794,4.794,2.557,2.155,3.200,5.576,1.586,2.015,7.322
01-01-2019 11:00,2.005,933,933,933,804,1.341,2.496,1.109,1.688,3.857,802,2.069,2.069,1.104,930,1.381,2.407,685,870,3.160
01-01-2019 12:00,1.979,921,921,921,793,1.323,2.464,1.095,1.666,3.807,792,2.042,2.042,1.089,918,1.363,2.376,676,858,3.119
01-01-2019 13:00,1.288,600,600,600,516,862,1.604,713,1.085,2.479,515,1.330,1.330,709,598,888,1.547,440,559,2.031
01-01-2019 14:00,1.225,570,570,570,491,819,1.525,678,1.031,2.357,490,1.264,1.264,674,568,844,1.470,418,531,1.931
01-01-2019 15:00,2.129,991,991,991,853,1.424,2.651,1.178,1.793,4.097,852,2.198,2.198,1.172,988,1.467,2.556,727,924,3.357
01-01-2019 16:00,2.571,1.197,1.197,1.197,1.031,1.720,3.201,1.423,2.165,4.947,1.029,2.654,2.654,1.416,1.193,1.771,3.087,878,1.115,4.053
01-01-2019 17:00,2.175,1.012,1.012,1.012,872,1.455,2.708,1.203,1.832,4.185,870,2.245,2.245,1.197,1.009,1.498,2.611,743,944,3.429
