location,optimizePipeSize,optimizePipeRouting,pipeDiameterMin,pipeDiameterMax
Pipe1,true,false,DN150,DN500
Pipe2,true,false,DN150,DN500
Pipe3,true,false,DN150,DN500
Pipe4,true,false,DN150,DN500
Pipe5,true,false,DN150,DN500
Pipe6,true,false,DN150,DN500
Pipe7,true,false,DN150,DN500
Pipe8,true,false,DN150,DN500
Pipe9,true,false,DN150,DN500
Pipe10,true,false,DN150,DN500
Pipe11,true,false,DN150,DN500
Pipe12,true,false,DN150,DN500
Pipe13,true,false,DN150,DN500
Pipe14_a,true,false,DN150,DN500
Pipe14_b,true,false,DN150,DN500
Pipe15,true,false,DN150,DN500
Pipe16,true,false,DN150,DN500
Pipe17,true,false,DN150,DN500
Pipe18,true,false,DN150,DN500
Pipe19,true,false,DN150,DN500
Pipe20_a,true,false,DN150,DN500
Pipe20_b,true,false,DN150,DN500
Pipe21,true,false,DN150,DN500
Pipe22,true,false,DN150,DN500
Pipe23_a,true,false,DN150,DN500
Pipe23_b,true,false,DN150,DN500
Pipe24,true,false,DN150,DN500
Pipe25,true,false,DN150,DN500
Pipe26,true,false,DN150,DN500
Pipe27,true,false,DN150,DN500
Pipe28,true,false,DN150,DN500
Pipe29,true,false,DN150,DN500
Pipe30,true,false,DN150,DN500
Pipe31,true,false,DN150,DN500
Pipe32,true,false,DN150,DN500
Pipe33,true,false,DN150,DN500
Pipe34_a,true,false,DN150,DN500
Pipe34_b,true,false,DN150,DN500
Pipe35,true,false,DN150,DN500
Pipe36,true,false,DN150,DN500
Pipe37,true,false,DN150,DN500
Pipe38,true,false,DN150,DN500
Pipe39,true,false,DN150,DN500
Pipe40,true,false,DN150,DN500
Pipe41,true,false,DN150,DN500
Pipe42,true,false,DN150,DN500
Pipe43,true,false,DN150,DN500
Pipe44,true,false,DN150,DN500
Pipe45,true,false,DN150,DN500
Pipe46,true,false,DN150,DN500
Pipe47,true,false,DN150,DN500
Pipe48,true,false,DN150,DN500
Pipe49_a,true,false,DN150,DN500
Pipe49_b,true,false,DN150,DN500
Pipe50,true,false,DN150,DN500
Pipe51_a,true,false,DN150,DN500
Pipe51_b,true,false,DN150,DN500
Pipe52_a,true,false,DN150,DN500
Pipe52_b,true,false,DN150,DN500
Pipe53,true,false,DN150,DN500
Pipe54,true,false,DN150,DN500
Pipe55,true,false,DN150,DN500
Pipe56,true,false,DN150,DN500
Pipe57,true,false,DN150,DN500
Pipe58,true,false,DN150,DN500
Pipe59,true,false,DN150,DN500
Pipe60_a,true,false,DN150,DN500
Pipe60_b,true,false,DN150,DN500
Pipe61,true,false,DN150,DN500
Pipe62,true,false,DN150,DN500
Pipe63,true,false,DN150,DN500
Pipe64,true,false,DN150,DN500
Pipe65,true,false,DN150,DN500
Pipe66,true,false,DN150,DN500
Pipe67,true,false,DN150,DN500
Pipe68,true,false,DN150,DN500
Pipe69,true,false,DN150,DN500
Pipe70,true,false,DN150,DN500
Pipe71,true,false,DN150,DN500
Pipe72,true,false,DN150,DN500
Pipe73,true,false,DN150,DN500
Pipe74,true,false,DN150,DN500
Pipe75,true,false,DN150,DN500
Pipe76,true,false,DN150,DN500
Pipe77,true,false,DN150,DN500
Pipe78,true,false,DN150,DN500
Pipe79,true,false,DN150,DN500
Pipe80,true,false,DN150,DN500
Pipe81,true,false,DN150,DN500
Pipe82,true,false,DN150,DN500
Pipe83,true,false,DN150,DN500
Pipe84,true,false,DN150,DN500
Pipe85,true,false,DN150,DN500
Pipe86,true,false,DN150,DN500
Pipe87,true,false,DN150,DN500
Pipe88,true,false,DN150,DN500
Pipe89,true,false,DN150,DN500
Pipe90,true,false,DN150,DN500
Pipe91,true,false,DN150,DN500
Pipe92,true,false,DN150,DN500
Pipe93,true,false,DN150,DN500
Pipe94,true,false,DN150,DN500
Pipe95,true,false,DN150,DN500
Pipe96,true,false,DN150,DN500
Pipe97,true,false,DN150,DN500
Pipe98,true,false,DN150,DN500
Pipe99,true,false,DN150,DN500
Pipe100,true,false,DN150,DN500
Pipe101,true,false,DN150,DN500
Pipe102,true,false,DN150,DN500
Pipe103,true,false,DN150,DN500
Pipe104,true,false,DN150,DN500
Pipe105,true,false,DN150,DN500
Pipe106,true,false,DN150,DN500
Pipe107,true,false,DN150,DN500
Pipe108,true,false,DN150,DN500
Pipe109,true,false,DN150,DN500
Pipe110,true,false,DN150,DN500
Pipe111,true,false,DN150,DN500
Pipe112,true,false,DN150,DN500
Pipe113,true,false,DN150,DN500
Pipe114,true,false,DN150,DN500
Pipe115,true,false,DN150,DN500
Pipe116,true,false,DN150,DN500
Pipe117,true,false,DN150,DN500
