   UTC,Heat_demand_A,Heat_demand_B,Heat_demand_C,Heat_demand_D,Heat_demand_E,Heat_demand_F,Heat_demand_G,Heat_demand_H,Heat_demand_I,Heat_demand_J
2015-01-01 00:00:00,71639000.000000,92726000.000000,60607000.000000,191558000.000000,51384000.000000,173197000.000000,77278000.000000,29789000.000000,191562000.000000,20469000.000000
2015-01-01 01:00:00,71819000.000000,93447000.000000,61554000.000000,194735000.000000,52413000.000000,175494000.000000,77865000.000000,30186000.000000,191163000.000000,20701000.000000
2015-01-01 02:00:00,71885000.000000,93914000.000000,62210000.000000,197343000.000000,53215000.000000,176674000.000000,78002000.000000,30294000.000000,190280000.000000,20891000.000000
2015-01-01 03:00:00,71783000.000000,94338000.000000,62814000.000000,199507000.000000,53810000.000000,178138000.000000,78472000.000000,30649000.000000,189505000.000000,21020000.000000
2015-01-01 04:00:00,71619000.000000,94860000.000000,63350000.000000,201375000.000000,54387000.000000,179841000.000000,79321000.000000,31352000.000000,189175000.000000,21051000.000000
2015-01-01 05:00:00,71660000.000000,94885000.000000,63134000.000000,202364000.000000,54279000.000000,180346000.000000,79607000.000000,32092000.000000,189277000.000000,21135000.000000
2015-01-01 06:00:00,71308000.000000,94368000.000000,62833000.000000,202835000.000000,54038000.000000,179946000.000000,78602000.000000,32871000.000000,189309000.000000,21290000.000000
2015-01-01 07:00:00,70878000.000000,92599000.000000,62687000.000000,203509000.000000,53744000.000000,179648000.000000,77711000.000000,33210000.000000,186959000.000000,21376000.000000
2015-01-01 08:00:00,70219000.000000,90458000.000000,62197000.000000,203818000.000000,53175000.000000,179065000.000000,76790000.000000,33323000.000000,184371000.000000,21426000.000000
2015-01-01 09:00:00,69718000.000000,88152000.000000,61405000.000000,202149000.000000,52262000.000000,177364000.000000,75587000.000000,33381000.000000,181167000.000000,21445000.000000
2015-01-01 10:00:00,68980000.000000,85822000.000000,60296000.000000,199409000.000000,51208000.000000,174610000.000000,74367000.000000,33163000.000000,178934000.000000,21359000.000000
2015-01-01 11:00:00,68191000.000000,83706000.000000,59091000.000000,196729000.000000,50040000.000000,171593000.000000,73177000.000000,32583000.000000,177741000.000000,21226000.000000
2015-01-01 12:00:00,67538000.000000,82183000.000000,57927000.000000,193723000.000000,48979000.000000,168447000.000000,71973000.000000,32089000.000000,176250000.000000,21104000.000000
2015-01-01 13:00:00,68087000.000000,84183000.000000,57738000.000000,193907000.000000,49346000.000000,168490000.000000,72644000.000000,32141000.000000,176232000.000000,21106000.000000
2015-01-01 14:00:00,68408000.000000,85374000.000000,57461000.000000,193810000.000000,49344000.000000,168384000.000000,73313000.000000,32322000.000000,175050000.000000,21039000.000000
2015-01-01 15:00:00,68342000.000000,85396000.000000,57221000.000000,193233000.000000,49169000.000000,168044000.000000,73287000.000000,32472000.000000,173667000.000000,20990000.000000
2015-01-01 16:00:00,68059000.000000,85268000.000000,56982000.000000,192595000.000000,49018000.000000,167349000.000000,73087000.000000,32488000.000000,172212000.000000,20872000.000000
2015-01-01 17:00:00,67814000.000000,85149000.000000,56878000.000000,192116000.000000,48729000.000000,166664000.000000,72924000.000000,32506000.000000,170949000.000000,20744000.000000
2015-01-01 18:00:00,67521000.000000,85016000.000000,56813000.000000,191461000.000000,48359000.000000,166198000.000000,72927000.000000,32601000.000000,169776000.000000,20663000.000000
