time,Heat_buffer,Heat_demand7_opt,Heat_demand91_opt,Heat_demand92_opt,Heat_source1,Heat_source2,StoredHeat_buffer
2013-05-19 22:00:00,0.002891,168164.518800,227722.785900,227722.785900,100099.900155,523510.201063,0.000000
2013-05-19 23:00:00,167336.427306,157956.451300,213899.361100,213899.361100,100100.115776,652991.491975,602411131.995530
2013-05-20 00:00:00,175305.901763,155807.373800,210989.152000,210989.152000,100100.110745,652991.475737,1233512372.042899
2013-05-20 01:00:00,171321.170312,156881.903300,212444.244000,212444.244000,100100.101341,652991.467200,1850268578.867616
2013-05-20 02:00:00,180286.774758,154464.211800,209170.286800,209170.286800,100100.104653,652991.462401,2499300961.699189
2013-05-20 03:00:00,197221.884831,149897.442800,202986.120500,202986.120500,100100.115361,652991.459611,3209299740.796139
2013-05-20 04:00:00,196225.699621,150166.075200,203349.893500,203349.893500,100100.111964,652991.456374,3915712253.135495
2013-05-20 05:00:00,179290.577508,154732.844200,209534.059900,209534.059900,100100.095899,652991.452507,4561158325.870052
2013-05-20 06:00:00,86645.514558,179715.757500,243365.088300,243365.088300,100100.013058,652991.442629,4873082171.986244
2013-05-20 07:00:00,51779.126961,189117.918700,256097.181500,256097.181500,100099.978420,652991.437332,5059487022.752658
2013-05-20 08:00:00,50782.909599,189386.560300,256460.967000,256460.967000,100099.975761,652991.435231,5242305491.017291
2013-05-20 09:00:00,-5999.494780,204698.652300,277196.091700,277196.091700,100099.917212,652991.427596,5220707303.515357
2013-05-20 10:00:00,-78720.921612,224308.899500,303751.634700,303751.634700,100099.835960,652991.417402,4937311979.419811
2013-05-20 11:00:00,-108606.454868,232367.907900,314664.875300,314664.875300,100099.798940,652991.411598,4546328735.602971
2013-05-20 12:00:00,-120560.616398,235591.496500,319030.151600,319030.151600,100099.782431,652991.407801,4112310510.280623
2013-05-20 13:00:00,-91671.305389,227801.129700,308480.696500,308480.696500,100099.815093,652991.409050,3782293804.590537
2013-05-20 14:00:00,-98644.602511,229681.565600,311027.120100,311027.120100,100099.804672,652991.405489,3427173229.259824
2013-05-20 15:00:00,-128530.137952,237740.574100,321940.360700,321940.360700,100099.765863,652991.398623,2964464726.345001
2013-05-20 16:00:00,-159411.821890,246068.205700,333217.361900,333217.361900,100099.723680,652991.390900,2390582161.250943
2013-05-20 17:00:00,-178339.281507,251172.230200,340129.061800,340129.061800,100099.695405,652991.383875,1748560741.538491
2013-05-20 18:00:00,-160407.983888,246336.828900,333581.122400,333581.122400,100099.716075,652991.380706,1171091993.256459
2013-05-20 19:00:00,-139488.184869,240695.539500,325941.876500,325941.876500,100099.739592,652991.374985,668934521.445206
2013-05-20 20:00:00,-102629.380290,230756.095200,312482.212200,312482.212200,100099.781543,652991.364643,299468746.121616
2013-05-20 21:00:00,-57801.161810,218667.591700,296112.363800,296112.363800,100099.829926,652991.334525,91384557.335048
2013-05-20 22:00:00,36836.049182,193147.413700,261553.789300,261553.789300,100099.926715,652991.121859,223994328.146994
2013-05-20 23:00:00,140438.999781,165209.553400,223721.270200,223721.270200,100100.019732,652991.080753,729574721.127432
2013-05-21 00:00:00,197221.445316,149897.442800,202986.120500,202986.120500,100100.064172,652991.071210,1439571918.034682
2013-05-21 01:00:00,210171.799545,146405.212600,198257.058700,198257.058700,100100.071485,652991.065106,2196190390.170268
2013-05-21 02:00:00,222126.012102,143181.605500,193891.757500,193891.757500,100100.078208,652991.061342,2995844027.511069
2013-05-21 03:00:00,216148.896097,144793.409100,196074.408100,196074.408100,100100.070850,652991.057528,3773980047.234601
2013-05-21 04:00:00,210171.781012,146405.212600,198257.058700,198257.058700,100100.063647,652991.054407,4530598452.652478
2013-05-21 05:00:00,173313.038833,156344.638500,211716.698000,211716.698000,100100.030761,652991.049413,5154525386.227486
2013-05-21 06:00:00,26874.072822,195833.756000,265191.544500,265191.544500,100099.890342,652991.034620,5251272042.162571
2013-05-21 07:00:00,-89679.398021,227263.864900,307753.150400,307753.150400,100099.754694,652991.019723,4928426203.064725
2013-05-21 08:00:00,-81709.964850,225114.805900,304842.966300,304842.966300,100099.761528,652991.018647,4634270323.380583
2013-05-21 09:00:00,-123549.660232,236397.402900,320121.483100,320121.483100,100099.704611,652991.011113,4189491540.322767
2013-05-21 10:00:00,-116576.373282,234516.967000,317575.059500,317575.059500,100099.709948,652991.009614,3769816590.284151
2013-05-21 11:00:00,-51824.453717,217055.797400,293929.725600,293929.725600,100099.786857,652991.014895,3583248550.682272
2013-05-21 12:00:00,-50828.247027,216787.155800,293565.940100,293565.940100,100099.783658,652991.012178,3400266855.166297
2013-05-21 13:00:00,-51824.468773,217055.797400,293929.725600,293929.725600,100099.777615,652991.009079,3213698761.362737
2013-05-21 14:00:00,-75732.862094,223502.993100,302660.303100,302660.303100,100099.742724,652991.003097,2941060451.605750
2013-05-21 15:00:00,-115580.201361,234248.325400,317211.274000,317211.274000,100099.684248,652990.994630,2524971720.488158
2013-05-21 16:00:00,-181328.367333,251978.136600,341220.393300,341220.393300,100099.581416,652990.981362,1872189591.871659
2013-05-21 17:00:00,-243091.832536,268633.418300,363774.420600,363774.420600,100099.468043,652990.965937,997058988.527031
2013-05-21 18:00:00,-276962.073227,277766.937800,376142.728300,376142.728300,100099.378141,652990.949624,0.000000
