time,Heat_buffer,Heat_demand7_opt,Heat_demand91_opt,Heat_demand92_opt,Heat_source1,Heat_source2,StoredHeat_buffer
2013-05-19 22:00:00,0.002894,168164.518800,227722.785900,227722.785900,100100.691925,523509.409287,0.000000
2013-05-19 23:00:00,167336.056223,157956.451300,213899.361100,213899.361100,100100.755884,652990.480699,602409796.228235
2013-05-20 00:00:00,175305.580445,155807.373800,210989.152000,210989.152000,100100.801201,652990.463905,1233509879.657392
2013-05-20 01:00:00,171320.878253,156881.903300,212444.244000,212444.244000,100100.820766,652990.455647,1850265035.193614
2013-05-20 02:00:00,180286.490829,154464.211800,209170.286800,209170.286800,100100.832865,652990.450224,2499296396.002930
2013-05-20 03:00:00,197221.597266,149897.442800,202986.120500,202986.120500,100100.841647,652990.446278,3209294139.985134
2013-05-20 04:00:00,196225.421870,150166.075200,203349.893500,203349.893500,100100.847822,652990.443109,3915705652.544924
2013-05-20 05:00:00,179290.321515,154732.844200,209534.059900,209534.059900,100100.851975,652990.440401,4561150803.825107
2013-05-20 06:00:00,86645.347417,179715.757500,243365.088300,243365.088300,100100.850952,652990.437425,4873074048.352565
2013-05-20 07:00:00,51778.997946,189117.918700,256097.181500,256097.181500,100100.851503,652990.435003,5059478434.783242
2013-05-20 08:00:00,50782.785685,189386.560300,256460.967000,256460.967000,100100.853858,652990.432987,5242296457.074742
2013-05-20 09:00:00,-5999.561143,204698.652300,277196.091700,277196.091700,100100.850998,652990.430419,5220698030.785615
2013-05-20 10:00:00,-78720.903579,224308.899500,303751.634700,303751.634700,100100.844680,652990.427501,4937302771.728968
2013-05-20 11:00:00,-108606.398369,232367.907900,314664.875300,314664.875300,100100.842007,652990.424984,4546319731.425787
2013-05-20 12:00:00,-120560.542709,235591.496500,319030.151600,319030.151600,100100.841295,652990.422556,4112301771.500211
2013-05-20 13:00:00,-91671.262733,227801.129700,308480.696500,308480.696500,100100.846277,652990.420550,3782285219.487337
2013-05-20 14:00:00,-98644.548808,229681.565600,311027.120100,311027.120100,100100.846094,652990.417758,3427164837.605864
2013-05-20 15:00:00,-128530.045893,237740.574100,321940.360700,321940.360700,100100.842158,652990.414309,2964456666.217880
2013-05-20 16:00:00,-159411.688683,246068.205700,333217.361900,333217.361900,100100.837341,652990.410336,2390574580.785738
2013-05-20 17:00:00,-178339.120863,251172.230200,340129.061800,340129.061800,100100.834068,652990.405729,1748553739.505426
2013-05-20 18:00:00,-160407.842725,246336.828900,333581.122400,333581.122400,100100.837568,652990.400267,1171085499.522624
2013-05-20 19:00:00,-139488.065871,240695.539500,325941.876500,325941.876500,100100.841514,652990.391976,668928456.214309
2013-05-20 20:00:00,-102629.301018,230756.095200,312482.212200,312482.212200,100100.848064,652990.377378,299462966.374440
2013-05-20 21:00:00,-57801.127701,218667.591700,296112.363800,296112.363800,100100.855455,652990.343004,91378900.477453
2013-05-20 22:00:00,36836.023217,193147.413700,261553.789300,261553.789300,100100.868778,652990.153599,223988577.884261
2013-05-20 23:00:00,140438.885582,165209.553400,223721.270200,223721.270200,100100.880436,652990.105807,729568559.805372
2013-05-21 00:00:00,197221.287529,149897.442800,202986.120500,202986.120500,100100.885908,652990.092281,1439565188.734238
2013-05-21 01:00:00,210171.635782,146405.212600,198257.058700,198257.058700,100100.887328,652990.085314,2196183071.375509
2013-05-21 02:00:00,222125.841941,143181.605500,193891.757500,193891.757500,100100.888534,652990.080768,2995836096.189801
2013-05-21 03:00:00,216148.733398,144793.409100,196074.408100,196074.408100,100100.888216,652990.077343,3773971530.249134
2013-05-21 04:00:00,210171.625557,146405.212600,198257.058700,198257.058700,100100.887801,652990.074616,4530589376.080921
2013-05-21 05:00:00,173312.915319,156344.638500,211716.698000,211716.698000,100100.884553,652990.072127,5154515865.055625
2013-05-21 06:00:00,26874.084583,195833.756000,265191.544500,265191.544500,100100.867596,652990.068847,5251262563.380018
2013-05-21 07:00:00,-89679.258610,227263.864900,307753.150400,307753.150400,100100.848551,652990.065399,4928417226.210406
2013-05-21 08:00:00,-81709.832028,225114.805900,304842.966300,304842.966300,100100.849872,652990.063460,4634261824.735922
2013-05-21 09:00:00,-123549.473601,236397.402900,320121.483100,320121.483100,100100.841751,652990.060608,4189483713.599867
2013-05-21 10:00:00,-116576.191201,234516.967000,317575.059500,317575.059500,100100.843357,652990.058302,3769809419.101176
2013-05-21 11:00:00,-51824.342826,217055.797400,293929.725600,293929.725600,100100.856051,652990.056584,3583241778.754983
2013-05-21 12:00:00,-50828.131950,216787.155800,293565.940100,293565.940100,100100.857144,652990.053765,3400260497.559558
2013-05-21 13:00:00,-51824.346360,217055.797400,293929.725600,293929.725600,100100.858333,652990.050767,3213692844.488736
2013-05-21 14:00:00,-75732.702955,223502.993100,302660.303100,302660.303100,100100.855934,652990.047271,2941055107.675914
2013-05-21 15:00:00,-115579.986178,234248.325400,317211.274000,317211.274000,100100.850880,652990.043202,2524967151.261467
2013-05-21 16:00:00,-181328.051719,251978.136600,341220.393300,341220.393300,100100.840344,652990.037998,1872186158.900272
2013-05-21 17:00:00,-243091.404182,268633.418300,363774.420600,363774.420600,100100.830936,652990.031242,997057097.672095
2013-05-21 18:00:00,-276961.548002,277766.937800,376142.728300,376142.728300,100100.833034,652990.020224,0.000000
